等级	升级所需经验	升到本级所需的总经验
1	100	0
2	170	100
3	328	270
4	535	598
5	790	1133
6	1094	1923
7	1447	3017
8	1848	4464
9	2298	6312
10	3816	8610
11	5054	12426
12	6402	17480
13	7974	23882
14	9644	31856
15	11628	41500
16	13710	53128
17	16597	66838
18	19757	83435
19	23080	103192
20	35487	126272
21	41332	161759
22	49357	203091
23	58546	252448
24	68984	310994
25	81343	379978
26	96033	461321
27	113050	557354
28	132574	670404
29	155496	802978
30	194438	958474
31	254776	1152912
32	317532	1407688
33	368684	1725220
34	414996	2093904
35	468892	2508900
36	535308	2977792
37	614733	3513100
38	700936	4127833
39	804667	4828769
40	902038	5633436
41	1156464	6535474
42	1274862	7691938
43	1406056	8966800
44	1559195	10372856
45	1719120	11932051
46	1902432	13651171
47	2093259	15553603
48	2304897	17646862
49	2536984	19951759
50	2784305	22488743
51	4388407	25273048
52	4877952	29661455
53	5425932	34539407
54	6046052	39965339
55	6751353	46011391
56	7813250	52762744
57	8629296	60575994
58	9691276	69205290
59	10916412	78896566
60	12331760	89812978
61	15820713	102144738
62	16719832	117965451
63	17664576	134685283
64	18658043	152349859
65	19694713	171007902
66	21200960	190702615
67	22356034	211903575
68	23569026	234259609
69	24835906	257828635
70	26164473	282664541
71	34768559	308829014
72	38020791	343597573
73	41257922	381618364
74	44656740	422876286
75	48230050	467533026
76	51984219	515763076
77	55918137	567747295
78	60053041	623665432
79	64384460	683718473
80	68643504	748102933
81	91725112	816746437
82	100805844	908471549
83	109805844	1009277393
84	118805844	1119083237
85	127805844	1237889081
86	136805844	1365694925
87	145805844	1502500769
88	154805844	1648306613
89	163805844	1803112457
90	172805844	1966918301
91	217465764	2139724145
92	268545555	2357189909
93	325456545	2625735464
94	389655554	2951192009
95	440000000	3340847563
96	450000000	3780847563
97	460000000	4230847563
98	470000000	4690847563
99	500000000	5160847563
100	550000000	5660847563
101	600000000	6210847563
102	650000000	6810847563
103	700000000	7460847563
104	750000000	8160847563
105	800000000	8910847563
106	900000000	9710847563
107	1000000000	10610847563
108	1100000000	11610847563
109	1250000000	12710847563
110	1400000000	13960847563
111	1600000000	15360847563
112	1800000000	16960847563
113	2036000000	18760847563
114	2298001200	20796847563
115	2500000000	23094848763
116	2750000000	25594848763
117	3000000000	28344848763
118	3300000000	31344848763
119	3600000000	34644848763
120	3900000000	38244848763
121	4200000000	42144848763
122	4294967295	46344848763
123	4294967295	50639816058
124	4294967295	54934783353
125	4294967295	59229750648
126	4294967295	63524717943
127	4294967295	67819685238
128	4294967295	72114652533
129	4294967295	76409619828
130		80704587123
